INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목1', '아이디1', '본문1', 1 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목28', '아이디28', '본문28', 28 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목29', '아이디29', '본문29', 29 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목30', '아이디30', '본문30', 30 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목31', '아이디31', '본문31', 31 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목32', '아이디32', '본문32', 32 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목33', '아이디33', '본문33', 33 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목34', '아이디34', '본문34', 34 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목35', '아이디35', '본문35', 35 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목36', '아이디36', '본문36', 36 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목37', '아이디37', '본문37', 37 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목38', '아이디38', '본문38', 38 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목39', '아이디39', '본문39', 39 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목40', '아이디40', '본문40', 40 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목41', '아이디41', '본문41', 41 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목42', '아이디42', '본문42', 42 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목43', '아이디43', '본문43', 43 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목44', '아이디44', '본문44', 44 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목45', '아이디45', '본문45', 45 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목46', '아이디46', '본문46', 46 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목47', '아이디47', '본문47', 47 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목48', '아이디48', '본문48', 48 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목49', '아이디49', '본문49', 49 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목50', '아이디50', '본문50', 50 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목51', '아이디51', '본문51', 51 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목52', '아이디52', '본문52', 52 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목53', '아이디53', '본문53', 53 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목54', '아이디54', '본문54', 54 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목55', '아이디55', '본문55', 55 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목56', '아이디56', '본문56', 56 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목57', '아이디57', '본문57', 57 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목58', '아이디58', '본문58', 58 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목59', '아이디59', '본문59', 59 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목60', '아이디60', '본문60', 60 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목61', '아이디61', '본문61', 61 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목62', '아이디62', '본문62', 62 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목63', '아이디63', '본문63', 63 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목64', '아이디64', '본문64', 64 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목65', '아이디65', '본문65', 65 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목66', '아이디66', '본문66', 66 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목67', '아이디67', '본문67', 67 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목68', '아이디68', '본문68', 68 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목69', '아이디69', '본문69', 69 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목70', '아이디70', '본문70', 70 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목71', '아이디71', '본문71', 71 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목72', '아이디72', '본문72', 72 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목73', '아이디73', '본문73', 73 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목74', '아이디74', '본문74', 74 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목75', '아이디75', '본문75', 75 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목76', '아이디76', '본문76', 76 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목77', '아이디77', '본문77', 77 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목78', '아이디78', '본문78', 78 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목79', '아이디79', '본문79', 79 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목80', '아이디80', '본문80', 80 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목81', '아이디81', '본문81', 81 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목82', '아이디82', '본문82', 82 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목83', '아이디83', '본문83', 83 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목84', '아이디84', '본문84', 84 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목85', '아이디85', '본문85', 85 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목86', '아이디86', '본문86', 86 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목87', '아이디87', '본문87', 87 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목88', '아이디88', '본문88', 88 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목89', '아이디89', '본문89', 89 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목90', '아이디90', '본문90', 90 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목91', '아이디91', '본문91', 91 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목92', '아이디92', '본문92', 92 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목93', '아이디93', '본문93', 93 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목94', '아이디94', '본문94', 94 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목95', '아이디95', '본문95', 95 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목96', '아이디96', '본문96', 96 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목97', '아이디97', '본문97', 97 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목98', '아이디98', '본문98', 98 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목99', '아이디99', '본문99', 99 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목100', '아이디100', '본문100', 100 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목101', '아이디101', '본문101', 101 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목102', '아이디102', '본문102', 102 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목103', '아이디103', '본문103', 103 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목104', '아이디104', '본문104', 104 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목105', '아이디105', '본문105', 105 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목106', '아이디106', '본문106', 106 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목107', '아이디107', '본문107', 107 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목108', '아이디108', '본문108', 108 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목109', '아이디109', '본문109', 109 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목110', '아이디110', '본문110', 110 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목111', '아이디111', '본문111', 111 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목112', '아이디112', '본문112', 112 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목113', '아이디113', '본문113', 113 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목114', '아이디114', '본문114', 114 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목115', '아이디115', '본문115', 115 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목116', '아이디116', '본문116', 116 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목117', '아이디117', '본문117', 117 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목118', '아이디118', '본문118', 118 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목119', '아이디119', '본문119', 119 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목120', '아이디120', '본문120', 120 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목121', '아이디121', '본문121', 121 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목122', '아이디122', '본문122', 122 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목123', '아이디123', '본문123', 123 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목124', '아이디124', '본문124', 124 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목125', '아이디125', '본문125', 125 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목126', '아이디126', '본문126', 126 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목127', '아이디127', '본문127', 127 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목128', '아이디128', '본문128', 128 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목129', '아이디129', '본문129', 129 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목130', '아이디130', '본문130', 130 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목131', '아이디131', '본문131', 131 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목132', '아이디132', '본문132', 132 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목133', '아이디133', '본문133', 133 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목134', '아이디134', '본문134', 134 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목135', '아이디135', '본문135', 135 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목136', '아이디136', '본문136', 136 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목137', '아이디137', '본문137', 137 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목138', '아이디138', '본문138', 138 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목139', '아이디139', '본문139', 139 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목140', '아이디140', '본문140', 140 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목141', '아이디141', '본문141', 141 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목142', '아이디142', '본문142', 142 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목143', '아이디143', '본문143', 143 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목144', '아이디144', '본문144', 144 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목145', '아이디145', '본문145', 145 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목146', '아이디146', '본문146', 146 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목147', '아이디147', '본문147', 147 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목148', '아이디148', '본문148', 148 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목149', '아이디149', '본문149', 149 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목150', '아이디150', '본문150', 150 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목151', '아이디151', '본문151', 151 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목152', '아이디152', '본문152', 152 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목153', '아이디153', '본문153', 153 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목154', '아이디154', '본문154', 154 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목155', '아이디155', '본문155', 155 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목156', '아이디156', '본문156', 156 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목157', '아이디157', '본문157', 157 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목158', '아이디158', '본문158', 158 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목159', '아이디159', '본문159', 159 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목160', '아이디160', '본문160', 160 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목161', '아이디161', '본문161', 161 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목162', '아이디162', '본문162', 162 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목163', '아이디163', '본문163', 163 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목164', '아이디164', '본문164', 164 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목165', '아이디165', '본문165', 165 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목166', '아이디166', '본문166', 166 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목167', '아이디167', '본문167', 167 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목168', '아이디168', '본문168', 168 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목169', '아이디169', '본문169', 169 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목170', '아이디170', '본문170', 170 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목171', '아이디171', '본문171', 171 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목172', '아이디172', '본문172', 172 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목173', '아이디173', '본문173', 173 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목174', '아이디174', '본문174', 174 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목175', '아이디175', '본문175', 175 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목176', '아이디176', '본문176', 176 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목177', '아이디177', '본문177', 177 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목178', '아이디178', '본문178', 178 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목179', '아이디179', '본문179', 179 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목180', '아이디180', '본문180', 180 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목181', '아이디181', '본문181', 181 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목182', '아이디182', '본문182', 182 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목183', '아이디183', '본문183', 183 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목184', '아이디184', '본문184', 184 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목185', '아이디185', '본문185', 185 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목186', '아이디186', '본문186', 186 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목187', '아이디187', '본문187', 187 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목188', '아이디188', '본문188', 188 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목189', '아이디189', '본문189', 189 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목190', '아이디190', '본문190', 190 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목191', '아이디191', '본문191', 191 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목192', '아이디192', '본문192', 192 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목193', '아이디193', '본문193', 193 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목194', '아이디194', '본문194', 194 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목195', '아이디195', '본문195', 195 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목196', '아이디196', '본문196', 196 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목197', '아이디197', '본문197', 197 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목198', '아이디198', '본문198', 198 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목199', '아이디199', '본문199', 199 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목200', '아이디200', '본문200', 200 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목201', '아이디201', '본문201', 201 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목202', '아이디202', '본문202', 202 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목203', '아이디203', '본문203', 203 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목204', '아이디204', '본문204', 204 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목205', '아이디205', '본문205', 205 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목206', '아이디206', '본문206', 206 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목207', '아이디207', '본문207', 207 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목208', '아이디208', '본문208', 208 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목209', '아이디209', '본문209', 209 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목210', '아이디210', '본문210', 210 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목211', '아이디211', '본문211', 211 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목212', '아이디212', '본문212', 212 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목213', '아이디213', '본문213', 213 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목214', '아이디214', '본문214', 214 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목215', '아이디215', '본문215', 215 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목216', '아이디216', '본문216', 216 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목217', '아이디217', '본문217', 217 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목218', '아이디218', '본문218', 218 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목219', '아이디219', '본문219', 219 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목220', '아이디220', '본문220', 220 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목221', '아이디221', '본문221', 221 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목222', '아이디222', '본문222', 222 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목223', '아이디223', '본문223', 223 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목224', '아이디224', '본문224', 224 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목225', '아이디225', '본문225', 225 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목226', '아이디226', '본문226', 226 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목227', '아이디227', '본문227', 227 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목228', '아이디228', '본문228', 228 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목229', '아이디229', '본문229', 229 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목230', '아이디230', '본문230', 230 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목231', '아이디231', '본문231', 231 );
INSERT INTO board ( boardno, title, id, content, hit ) VALUES ( board_seq.nextval, '제목232', '아이디232', '본문232', 232 );
